text,label,clean_text
"Managing Children's Fear, Anxiety in the Age of COVID-19",1,managing childrens fear anxiety age covid
Cases in U.S.,1,cases us
Why Seeing a Doctor Within 48 Hours of Flu Symptoms Is Critical,1,seeing doctor within hours flu symptoms critical
What Law Enforcement Personnel Need to Know about Coronavirus Disease 2019 (COVID-19),1,law enforcement personnel need know coronavirus disease covid
North Carolina Òhospital beds are typically 85% full across the state.Ó,0,north carolina hospital beds typically full across state
The government Ñ or specific states such as Michigan or Florida Ñ has mandated that employers and schools close for two weeks.,0,government specific states michigan florida mandated employers schools close two weeks
Claim that Dr. Anthony FauciÕs statement that the coronavirus death rate is 10 times that of the seasonal flu is Òa claim without any scientific basis.Ó,0,claim dr anthony faucis statement coronavirus death rate times seasonal flu claim without scientific basis
The Simpsons predicted the new coronavirus outbreak.,0,simpsons predicted new coronavirus outbreak
Taking a flu shot causes false positive results on COVID-19 tests.,0,taking flu shot causes false positive results covid tests
"COMMENTARY: COVID-19 Diary Day 10: So Many Questions, No Answers",1,commentary covid diary day many questions answers
"The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.",0,coronavirus pandemic dramatically slowed stopped immediate widespread use high doses vitamin c
Expert Alert: Have heart disease? Protect your health during the COVID-19 pandemic,1,expert alert heart disease protect health covid pandemic
ÒBreaking,0,breaking
Coronavirus prevention: How to reduce transmission risk,1,coronavirus prevention reduce transmission risk
Scientists Uncover Structure of Key Pneumonia Virus Enzyme,1,scientists uncover structure key pneumonia virus enzyme
"""LA County sheriff’s deputies arrested a paddle boarder for violating the state’s stay-at-home order""",1,la county sheriffs deputies arrested paddle boarder violating states stayathome order
Frequently Asked Questions and Answers: Coronavirus Disease-2019 (COVID-19) and Children,1,frequently asked questions answers coronavirus disease covid children
NIH Reports First Known Employee with COVID-19 Infection,1,nih reports first known employee covid infection
People with Asthma and COVID-19,1,people asthma covid
"ÒMan visited Albany, N.Y., days before dying from coronavirus.Ó",0,man visited albany ny days dying coronavirus
"""WHO and Rakuten Viber fight COVID-19 misinformation with interactive chatbot""",1,rakuten viber fight covid misinformation interactive chatbot
"""Will homemade masks stop coronavirus from spreading? Fact-checking Sen. Pat Toomey’s claim""",1,homemade masks stop coronavirus spreading factchecking sen pat toomeys claim
Lack of Paid Sick Leave a Coronavirus Threat,1,lack paid sick leave coronavirus threat
"""European Commission supports WHO’s COVID19 response across Eastern Europe and the Caucasus""",1,european commission supports whos covid response across eastern europe caucasus
IDSA: No Recommendations for COVID-19 Treatment for Now,1,idsa recommendations covid treatment
COMMENTARY: COVID-19 Diary Day 8: I'm a 'Hugger.' Now I'm Socially Distant.,1,commentary covid diary day im hugger im socially distant
COVIDView Summary ending on April 18,1,covidview summary ending april
"""International working group on Ethics & COVID-19""",1,international working group ethics covid
Numbers Lacking on COVID-19-Infected Healthcare Workers,1,numbers lacking covidinfected healthcare workers
Frieden Calls Pandemic Battle “World War C”,1,frieden calls pandemic battle world war c
"COVID-19 Daily: A Hospitalist's Advice, Fighting an 'Infodemic'",1,covid daily hospitalists advice fighting infodemic
How close is a COVID-19 vaccine? Prof. Martin Bachmann on stopping a pandemic,1,close covid vaccine prof martin bachmann stopping pandemic
The new coronavirus contains HIV ÒinsertionsÓ and shows signs of being created in a lab.,0,new coronavirus contains hiv insertions shows signs created lab
"""#ThanksHealthHeros - World Health Day Message""",1,thankshealthheros world health day message
Get Your Community- and Faith-Based Organizations Ready for Coronavirus Disease 2019,1,get community faithbased organizations ready coronavirus disease
Groups at Higher Risk for Severe Illness,1,groups higher risk severe illness
Trending Clinical Topic: COVID-19,1,trending clinical topic covid
Should you take Ibuprofen to treat a fever from the coronavirus?,0,take ibuprofen treat fever coronavirus
Cleveland Clinic Offers Free COVID-19 Online Screening Tool,1,cleveland clinic offers free covid online screening tool
"""WHO, UN Foundation and partners launch first-of-its-kind COVID-19 Solidarity Response Fund""",1,un foundation partners launch firstofitskind covid solidarity response fund
Army of Mayo employees come together to identify COVID-19 exposures within hours,1,army mayo employees come together identify covid exposures within hours
Heart Patients Need to Be Wary of Coronavirus,1,heart patients need wary coronavirus
US President Donald Trump has suggested studying the injection of disinfectant as a COVID-19 treatment.,0,us president donald trump suggested studying injection disinfectant covid treatment
15 minutes in a sauna will kill the coronavirus.,0,minutes sauna kill coronavirus
"""Strengthening accountability to end TB""",1,strengthening accountability end tb
ÒSo let me get this straight about this virus. ItÕs ÔnewÕ yet it was lab created and patented in 2015 (in development since 03Õ).Ó,0,let get straight virus new yet lab created patented development since
'Hospital at Home' May Boost COVID-19 Inpatient Capacity,1,hospital home may boost covid inpatient capacity
NIH Launches Clinical Trial of Hydroxychloroquine,1,nih launches clinical trial hydroxychloroquine
"""WHO delegation concludes COVID-19 technical mission to Egypt""",1,delegation concludes covid technical mission egypt
'Larger Than Life' Physician Stephen Schwartz Dies of COVID-19,1,larger life physician stephen schwartz dies covid
CDC issued facial hair recommendation for novel coronavirus prevention.,0,cdc issued facial hair recommendation novel coronavirus prevention
50 NYC School Employees Have Died of COVID-19,1,nyc school employees died covid
COVID-19 'Therapies' Put Focus on 12-Lead ECG Alternatives,1,covid therapies put focus lead ecg alternatives
How Even One Social Gathering Can Quickly Spread COVID-19,1,even one social gathering quickly spread covid
Can We Learn Anything from the SARS Outbreak to Fight COVID-19?,1,learn anything sars outbreak fight covid
COVID-19 global impact: How the coronavirus is affecting the,1,covid global impact coronavirus affecting
Bill Gates and the Vatican have a plan to depopulate the world with a coronavirus vaccine.,0,bill gates vatican plan depopulate world coronavirus vaccine
7 alternatives to toilet paper,1,alternatives toilet paper
"Guidelines for Evaluating and Testing Persons Under Investigation for COVID-19 (CDC, 2020)",1,guidelines evaluating testing persons investigation covid cdc
COVID-19: Could Hydroxychloroquine Really Be the Answer?,1,covid could hydroxychloroquine really answer
ÒQueen Elizabeth tests positive for COVID-19.Ó,0,queen elizabeth tests positive covid
Phone Advice Line Guidelines for Children (2-17 years) or Adults (≥ 18 years) with Possible COVID-19,1,phone advice line guidelines children years adults years possible covid
President Donald Trump Òwill evoke (sic) what is called the Stafford actÓ and Òorder a two week mandatory quarantine for the nation.Ó,0,president donald trump evoke sic called stafford act order two week mandatory quarantine nation
Test for Coronavirus Antibodies Approved by FDA,1,test coronavirus antibodies approved fda
Key Drugs Join PPEs on List of Front-Line Shortages,1,key drugs join ppes list frontline shortages
"""WHO Director-General calls on G20 to Fight, Unite, and Ignite against COVID-19""",1,directorgeneral calls g fight unite ignite covid
Ibuprofen ramps up coronavirus 10 times.,0,ibuprofen ramps coronavirus times
COVID-19 Pneumonia: Only Some Cases Are Like Severe ARDS,1,covid pneumonia cases like severe ards
"""How the Utah Jazz got 58 coronavirus tests when US testing is sluggish""",1,utah jazz got coronavirus tests us testing sluggish
COVID-19 Serology Surveillance Strategy,1,covid serology surveillance strategy
Deadly New Coronavirus Can Spread Between Humans,1,deadly new coronavirus spread humans
"Coronavirus Daily Digest: April 3, 2020",1,coronavirus daily digest april
CDC to Screen for Novel Coronavirus at Three US Airports,1,cdc screen novel coronavirus three us airports
"Ask an Expert: An Epidemiologist Answers Our Questions About the Coronavirus, Quarantines, and Face Masks",1,ask expert epidemiologist answers questions coronavirus quarantines face masks
"Coronavirus Daily Digest: March 30, 2020",1,coronavirus daily digest march
"If You’re Worried About the New Coronavirus, Here’s How to Protect Yourself",1,youre worried new coronavirus heres protect
Coronavirus Outbreak Prompted Gun And Ammunition Policy Changes At Walmart.,0,coronavirus outbreak prompted gun ammunition policy changes walmart
University Hospitals and Cleveland Clinic Partner to Provide Drive-Through COVID-19 Testing,1,university hospitals cleveland clinic partner provide drivethrough covid testing
"COVID-19 Daily: Hospital Hacks, Tips for Small Practices",1,covid daily hospital hacks tips small practices
Mayo Clinic in Florida expands specimen testing and processing capabilities for COVID-19,1,mayo clinic florida expands specimen testing processing capabilities covid
The new coronavirus can be cured by drinking one bowl of freshly boiled garlic water.,0,new coronavirus cured drinking one bowl freshly boiled garlic water
People with Disabilities,1,people disabilities
6 Ways to Be a More Considerate Shopper During COVID-19,1,ways considerate shopper covid
"""Communities, Schools, and Workplaces""",1,communities schools workplaces
Certain Anerobic Bacteria Linked to Increased CRC Risk,1,certain anerobic bacteria linked increased crc risk
"Current US Visa Rules Restrict, Limit COVID-19 Physician Pool",1,current us visa rules restrict limit covid physician pool
Information for Pediatric Healthcare Providers,1,information pediatric healthcare providers
The health insurance industry has Òagreed to waive all co-payments for coronavirus treatments.Ó,0,health insurance industry agreed waive copayments coronavirus treatments
Mayo Clinic experts offer guidance on treating COVID-19 patients with signs of acute heart attack,1,mayo clinic experts offer guidance treating covid patients signs acute heart attack
Nobel laureate Luc Montagnier claimed that the coronavirus genome contained sequences of HIV (the virus that causes AIDS).,0,nobel laureate luc montagnier claimed coronavirus genome contained sequences hiv virus causes aids
NCHS Mortality Surveillance Data,1,nchs mortality surveillance data
"Coronavirus Daily Digest: March 23, 2020",1,coronavirus daily digest march
Trump Won’t Socially Distance Himself From Pence,1,trump wont socially distance pence
Models: Opening States Early Will Increase Deaths,1,models opening states early increase deaths
Stress and Coping,1,stress coping
NIH clinical trial shows Remdesivir accelerates recovery from advanced COVID-19,1,nih clinical trial shows remdesivir accelerates recovery advanced covid
"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.",0,asian flu hong kong flu swine flu bird flu killed people coronavirus today government never shut anything
Ads are selling masks protecting against COVID-19.,0,ads selling masks protecting covid
New Details on How a Viral Protein Puts the Brakes on Virus Replication,1,new details viral protein puts brakes virus replication
COVID-19 vaccine trial killed 7 children in Senegal.,0,covid vaccine trial killed children senegal
The World Faces an Air Pollution 'Pandemic',1,world faces air pollution pandemic
NIDA Director outlines potential risks to people who smoke and use drugs during COVID-19 pandemic,1,nida director outlines potential risks people smoke use drugs covid pandemic
Information for Clinicians on Therapeutic Options for COVID-19 Patients,1,information clinicians therapeutic options covid patients
UK local authorities not ready for the number of deaths from Covid-19,1,uk local authorities ready number deaths covid
COMMENTARY: COVID-19 Diary Day 6: Clinicians' Choices Shouldn't Be Judged,1,commentary covid diary day clinicians choices shouldnt judged
"""Fact-checking Trump campaign claim on Biden’s 2009 swine flu comments""",1,factchecking trump campaign claim bidens swine flu comments
AHA COVID-19 CVD Registry to Collect Data on CV Outcomes,1,aha covid cvd registry collect data cv outcomes
Contact Tracing : Part of a Multipronged Approach to Fight the COVID-19 Pandemic,1,contact tracing part multipronged approach fight covid pandemic
"U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.",0,us hospitals preparing million coronavirus infections nearly half million deaths leaked documents reveal
"""WHO statement on cases of COVID-19 surpassing 100 000""",1,statement cases covid surpassing
New Flu Drug Drives Drug Resistance in Influenza Viruses,1,new flu drug drives drug resistance influenza viruses
ÒMass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.Ó,0,mass vaccination covid senegal started yesterday first children received died spot
Surveillance and Data Analytics,1,surveillance data analytics
Australian hospital staff rolled in a Wilson volleyball to keep Tom Hanks company in quarantine.,0,australian hospital staff rolled wilson volleyball keep tom hanks company quarantine
"A misleading chart being spread on Facebook, erroneously dubbing the new coronavirus the Òleast deadly virus.Ó",0,misleading chart spread facebook erroneously dubbing new coronavirus least deadly virus
Loss of Smell and Taste Validated as COVID-19 Symptoms in Patients With High Recovery Rate,1,loss smell taste validated covid symptoms patients high recovery rate
Elastomeric Respirators: Strategies During Conventional and Surge Demand Situations,1,elastomeric respirators strategies conventional surge demand situations
"The Week That Wasn't in COVID-19: 17 Days, Peak in 3 Weeks, Croc",1,week wasnt covid days peak weeks croc
Did Donald Trump attempt to steal a COVID-19 vaccine from a German company and refuse testing kits from WHO?,0,donald trump attempt steal covid vaccine german company refuse testing kits
U.S. State and Local Public Health Laboratories Reporting to CDC,1,us state local public health laboratories reporting cdc
IPhoto shows people falling dead on Italian streets from COVID-19.,0,iphoto shows people falling dead italian streets covid
Scientists claim the Wuhan coronavirus is an HIV-1 engineered Òsuper weapon.Ó,0,scientists claim wuhan coronavirus hiv engineered super weapon
As COVID-19 Shutters Practices Virtual Doc-Patient Activity Soars,1,covid shutters practices virtual docpatient activity soars
Building a Better Flu Shot,1,building better flu shot
Keeping active while staying put: A brief 'how to' guide,1,keeping active staying put brief guide
COVID-19 Mortality Hits Almost 30% in Kidney Transplant Patients,1,covid mortality hits almost kidney transplant patients
"Best Practice Treatment Guidelines Help Doctors Identify, Treat Vaping-Associated Lung Injuries",1,best practice treatment guidelines help doctors identify treat vapingassociated lung injuries
A post says the coronavirus can be slowed or stopped with the Òimmediate widespread use of high doses of vitamin C.Ó,0,post says coronavirus slowed stopped immediate widespread use high doses vitamin c
KNUST students discover vaccine for coronavirus and cure patient in C™te dÕIvoire.,0,knust students discover vaccine coronavirus cure patient cte divoire
"""WHO/PAHO support’s Haiti’s COVID-19 preparedness efforts""",1,whopaho supports haitis covid preparedness efforts
COVID-19 Breast Cancer Patient Triage Guidelines (CPBCC),1,covid breast cancer patient triage guidelines cpbcc
Contracting the new coronavirus may protect against future reinfection,1,contracting new coronavirus may protect future reinfection
When COVID-19 Postpones Your Screening Test or Surgery,1,covid postpones screening test surgery
"ÒAll U.S. citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting 3/17/20.Ó",0,us citizens entitled usd per week stay home avoid spread covid novel coronavirus starting
Leave objects in the sun to avoid contracting the coronavirus.,0,leave objects sun avoid contracting coronavirus
Don't Let The COVID Pandemic Rob You of Your Sleep,1,dont let covid pandemic rob sleep
COVID-19 Has Taken Away the Village: How New Parents Can Cope,1,covid taken away village new parents cope
COVID-19 and PPE: Some of Us Will Die,1,covid ppe us die
European Cancer Centers Restructure Care in the Era of COVID-19,1,european cancer centers restructure care era covid
Pregnancy and mental health during the COVID-19 crisis,1,pregnancy mental health covid crisis
Resources for Healthcare Facilities,1,resources healthcare facilities
Companies Offer Freebies to Health Care Workers,1,companies offer freebies health care workers
"""U.S. Outpatient Influenza-like Illness Surveillance Network (ILINet): Percentage of Visits for ILI by Age Group Reported by A Subset of ILINet Providers September 29, 2019 - April 4, 2020 Data as of April 9, 2020""",1,us outpatient influenzalike illness surveillance network ilinet percentage visits ili age group reported subset ilinet providers september april data april
ASE Issues Echocardiography Guidance Amid COVID-19 Pandemic,1,ase issues echocardiography guidance amid covid pandemic
Two Rare Neurologic Conditions Linked to COVID-19,1,two rare neurologic conditions linked covid
Home Test Kits for COVID-19 May Be Available Soon,1,home test kits covid may available soon
How to Protect Yourself While Traveling During the Coronavirus Outbreak,1,protect traveling coronavirus outbreak
NYC did implement a citywide quarantine.,0,nyc implement citywide quarantine
The NBA is asking President Donald Trump to Òresign or weÕll never play again.Ó,0,nba asking president donald trump resign well never play
COVID-19 Likely Seasonal,1,covid likely seasonal
Video shows President Donald Trump saying COVID-19 is the DemocratsÕ Ònew hoax.Ó,0,video shows president donald trump saying covid democrats new hoax
Nitric Oxide Investigated as COVID-19 Treatment,1,nitric oxide investigated covid treatment
The novel coronavirus is not new.,0,novel coronavirus new
"""Reopening Guidance for Cleaning and Disinfecting Public Spaces, Workplaces, Businesses, Schools, and Homes""",1,reopening guidance cleaning disinfecting public spaces workplaces businesses schools homes
"82,000 Health Care Workers Volunteer for New York",1,health care workers volunteer new york
Interim Guidance for Emergency Medical Services (EMS) Systems and 911 Public Safety Answering Points (PSAPs) for COVID-19 in the United States,1,interim guidance emergency medical services ems systems public safety answering points psaps covid united states
COVID-19 Shows Gaps in Controls at Nursing Homes,1,covid shows gaps controls nursing homes
"ÒGeorge Soros owns the WuXi PHARMA LAB located in Wuhan, China, where COVID-19 was developed and conveniently broke out.Ó",0,george soros owns wuxi pharma lab located wuhan china covid developed conveniently broke
DIY Masks for COVID-19,1,diy masks covid
Coronavirus is caused by 5G.,0,coronavirus caused g
CDC Says Some People Can Get Back to Work: Here’s What the Experts Think,1,cdc says people get back work heres experts think
"SARS-CoV-2 May Confound Seasons, Persist in Warmer Months",1,sarscov may confound seasons persist warmer months
This Year's Flu Season Taking Deadly Aim at Kids,1,years flu season taking deadly aim kids
"Former NYC Mayor Rudolph Giuliani said he Òbought $2M in shares of Novartis, a primary supplier of hydroxychloroquineÓ in early February.",0,former nyc mayor rudolph giuliani said bought shares novartis primary supplier hydroxychloroquine early february
"""Bill Gates warned in 2015 that we were unprepared for an infectious virus""",1,bill gates warned unprepared infectious virus
"Ron Johnson said Americans should go back to work, because Òdeath is an unavoidable part of life.Ó",0,ron johnson said americans go back work death unavoidable part life
Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.,0,video shows orangutan started washing hands watching zookeepers coronavirus pandemic
"""World TB Day 2020 Newsletter""",1,world tb day newsletter
Poison Control Centers Report Rise in Accidents,1,poison control centers report rise accidents
Hand sanitizer will Òdo nothing for the coronavirus.Ó,0,hand sanitizer nothing coronavirus
"There Is No Cure for COVID-19, No Matter What the Internet Says",1,cure covid matter internet says
"Researchers Find Way to Clean, Re-Use N95 Masks",1,researchers find way clean reuse n masks
How to Sanitize N95 Masks for Reuse: NIH Study,1,sanitize n masks reuse nih study
Missouri students will have to repeat the school year because of COVID-19 school closings.,0,missouri students repeat school year covid school closings
TSA: 500 Employees Test Positive for COVID-19,1,tsa employees test positive covid
Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,0,russia unleashed lions streets ensure people staying indoors pandemic outbreak
"Headache and fever: Causes, treatment, and prevention",1,headache fever causes treatment prevention
Coronavirus Crisis Should Delay Elective Surgeries,1,coronavirus crisis delay elective surgeries
"COMMENTARY: Heroes From a Distance, 'Lepers' Up Close?",1,commentary heroes distance lepers close
"""National Syndromic Surveillance Program (NSSP): Emergency Department Visits Percentage of Visits for COVID-19-Like Illness (CLI) or Influenza-like Illness (ILI) September 29, 2019 - April 4, 2020 Data as of April 9, 2020""",1,national syndromic surveillance program nssp emergency department visits percentage visits covidlike illness cli influenzalike illness ili september april data april
Ventilators: Helping or Harming COVID-19 Patients?,1,ventilators helping harming covid patients
Says 80% of novel coronavirus cases are Òmild.Ó,0,says novel coronavirus cases mild
Whether 60 Democrats voted against coronavirus stimulus bill.,0,whether democrats voted coronavirus stimulus bill
Mayo Clinic develops test to detect COVID-19 infection,1,mayo clinic develops test detect covid infection
"'You Are the Heroes,' Comedians Tell Clinicians, Part 2",1,heroes comedians tell clinicians part
Post says no one has died from the coronavirus in the United States.,0,post says one died coronavirus united states
States are imposing mandatory leave and statewise school closures due to coronavirus.,0,states imposing mandatory leave statewise school closures due coronavirus
There is no coronavirus. The Chinese were secretly working on a biological agent that was supposed to make protesters docile and obedient.,0,coronavirus chinese secretly working biological agent supposed make protesters docile obedient
"""WHO, Saudi Arabia join forces to fight COVID-19 in the Eastern Mediterranean Region and beyond""",1,saudi arabia join forces fight covid eastern mediterranean region beyond
"If we want to protect ourselves from the coronavirus, we must back away from all the climate change efforts weÕve been making.",0,want protect coronavirus must back away climate change efforts weve making
"The Week That Wasn't in COVID-19: Elon Musk, 'Pandemic' Scientist",1,week wasnt covid elon musk pandemic scientist
Phage Capsid Against Influenza: Perfectly Fitting Inhibitor Prevents Viral Infection,1,phage capsid influenza perfectly fitting inhibitor prevents viral infection
"ÒDuring the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.Ó",0,swine flu outbreak biden made reckless comments unsupported science experts obama admin clean mess apologize ineptitude
How do SARS and MERS compare with COVID-19?,1,sars mers compare covid
FAQs about Hand Hygiene for Healthcare Personnel,1,faqs hand hygiene healthcare personnel
"President Donald Trump said, ÒPeople are dying who have never died before.Ó",0,president donald trump said people dying never died
George Stephanopoulos Diagnosed With Coronavirus,1,george stephanopoulos diagnosed coronavirus
Financial Resources,1,financial resources
Coronavirus: 10 home exercises,1,coronavirus home exercises
Study Finds Remdesivir Effective Against a Key Enzyme of Coronavirus That Causes COVID-19,1,study finds remdesivir effective key enzyme coronavirus causes covid
Key Resources,1,key resources
Graphics and Images,1,graphics images
Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,0,governors across us announcing current school year repeated due coronavirus school closings
"COVID-19 Linked to Cardiac Injury, Worse Outcomes for Patients With Heart Conditions",1,covid linked cardiac injury worse outcomes patients heart conditions
COMMENTARY: A Better Way to Prioritize Essential Care During COVID-19,1,commentary better way prioritize essential care covid
First Spread of Coronavirus in U.S. Confirmed,1,first spread coronavirus us confirmed
"Why Cooking Chicken to 165 Degrees Is Critical for Ensuring Safety, Preventing Illness",1,cooking chicken degrees critical ensuring safety preventing illness
New drug candidate against the novel coronavirus,1,new drug candidate novel coronavirus
Get Ready for COVID-19,1,get ready covid
Media backgrounder: COVID-19 readiness and helping the world respond to the global pandemic,1,media backgrounder covid readiness helping world respond global pandemic
VOYAGER PAD: Clopidogrel Adds No Benefit to Rivaroxaban+Aspirin,1,voyager pad clopidogrel adds benefit rivaroxabanaspirin
"""Joint Leader's statement - Violence against children: A hidden crisis of the COVID-19 pandemic""",1,joint leaders statement violence children hidden crisis covid pandemic
How Home Healthcare Workers Are Navigating the COVID-19 Outbreak,1,home healthcare workers navigating covid outbreak
Amazon Suspends Accounts for Price Gouging,1,amazon suspends accounts price gouging
Protect Yourself and Others from COVID-19 When Visiting Parks and Recreational Facilities,1,protect others covid visiting parks recreational facilities
"""WHO partners with WhatsApp, Facebook and Viber to bring most up to date and accurate information to billions of people""",1,partners whatsapp facebook viber bring date accurate information billions people
Black people are immune to the coronavirus.,0,black people immune coronavirus
Facebook posts claim a child who is infected with the novel coronavirus will be taken to a hospital unaccompanied.,0,facebook posts claim child infected novel coronavirus taken hospital unaccompanied
"'Hypercoagulation,' Antiphospholipid Antibodies Seen in COVID-19",1,hypercoagulation antiphospholipid antibodies seen covid
Musician Performs Drive-By Concerts to Spread Joy,1,musician performs driveby concerts spread joy
[SARS-CoV-2] is spreading quickly from gas pumps. Shopping carts as well.,0,sarscov spreading quickly gas pumps shopping carts well
5G technology caused the coronavirus.,0,g technology caused coronavirus
The photo of a vaccine for canine coronavirus proves that a vaccine exists for the novel coronavirus that causes COVID-19.,0,photo vaccine canine coronavirus proves vaccine exists novel coronavirus causes covid
15 major global pandemics all originated in China.,0,major global pandemics originated china
U.S. State and Local Public Health Laboratories Reporting to CDC,1,us state local public health laboratories reporting cdc
"""Internet providers offer free internet amid coronavirus shutdowns""",1,internet providers offer free internet amid coronavirus shutdowns
Mayo Clinic Laboratories launches serology testing in support of COVID-19 response,1,mayo clinic laboratories launches serology testing support covid response
Trending Clinical Topic: Remdesivir,1,trending clinical topic remdesivir
"‘False Negatives’ in COVID-19 Testing: If You Have Symptoms, Assume You Have the Disease",1,false negatives covid testing symptoms assume disease
A video posted on Facebook claiming that chloroquine and azithromycin are proven cures of COVID-19,0,video posted facebook claiming chloroquine azithromycin proven cures covid
Doc Suspended for Exposing Poor Social-Distancing Practices,1,doc suspended exposing poor socialdistancing practices
"""New WHO tools for supplies and to help hospitals manage surge in COVID-19 patients""",1,new tools supplies help hospitals manage surge covid patients
Here’s What Happens to the Body After Contracting the Coronavirus,1,heres happens body contracting coronavirus
"The Week That Wasn't: Open Windows, Antibody Testing, Conspiracy Theories",1,week wasnt open windows antibody testing conspiracy theories
Assessing Risk Factors for Severe COVID-19 Illness,1,assessing risk factors severe covid illness
Interim Clinical Guidance for Management of Patients with Confirmed Coronavirus Disease (COVID-19),1,interim clinical guidance management patients confirmed coronavirus disease covid
Key Strategies to Prepare for COVID-19 in Long-term Care Facilities (LTCFs),1,key strategies prepare covid longterm care facilities ltcfs
Seniors Recruited for Coronavirus Vaccine Trials,1,seniors recruited coronavirus vaccine trials
"The Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.",0,coronavirus aid relief economic security act gives members congress pay increase
"Coronavirus vaccine: Development, timeline, and more",1,coronavirus vaccine development timeline
U.S. Speaker of the House Nancy Pelosi said she wonÕt pass new economic stimulus package unless senior citizens are excluded.,0,us speaker house nancy pelosi said wont pass new economic stimulus package unless senior citizens excluded
How the U.S. Is Preparing for a Major Coronavirus Outbreak,1,us preparing major coronavirus outbreak
Treating Rectal Cancer in the COVID-19 Era: Expert Guidance,1,treating rectal cancer covid era expert guidance
Hard Truths From Infectious Disease Specialists,1,hard truths infectious disease specialists
"A video of US President Donald Trump and a top US pharmaceutical executive speaking at a press conference has been viewed thousands of times in multiple Facebook, Twitter and YouTube posts alongside a claim that it shows them announcing a vaccine for the novel coronavirus, COVID-19, was ÒreadyÓ to be administered.",0,video us president donald trump top us pharmaceutical executive speaking press conference viewed thousands times multiple facebook twitter youtube posts alongside claim shows announcing vaccine novel coronavirus covid ready administered
World Economic Forum is a Òfascist cabalÓ manipulating coronavirus.,0,world economic forum fascist cabal manipulating coronavirus
How I Stopped Stressing and Embraced My Kid’s Distance Learning,1,stopped stressing embraced kids distance learning
How One Very Ill Infant Survived COVID-19,1,one ill infant survived covid
Multi-Level Distancing Is Best Against COVID-19: Study,1,multilevel distancing best covid study
"Too Many Patients, Too Few Ventilators: How U.S. Hospitals Cope With COVID-19",1,many patients ventilators us hospitals cope covid
"Says for otherwise healthy people Òexperiencing mild to moderate respiratory symptoms with or without a COVID-19 diagnosis É only high temperatures kill a virus, so let your fever run high,Ó but not over 103 or 104 degrees F.",0,says otherwise healthy people experiencing mild moderate respiratory symptoms without covid diagnosis high temperatures kill virus let fever run high degrees f
ÒTheyÕre furloughing nurses in hospitals in western New York state.Ó,0,theyre furloughing nurses hospitals western new york state
"Neurologists Dust Off Their Stethoscopes, Join COVID Frontlines",1,neurologists dust stethoscopes join covid frontlines
Coronavirus is just Òthe damn flu.Ó,0,coronavirus damn flu
Criteria for Return to Work for Healthcare Personnel with Confirmed or Suspected COVID-19 (Interim Guidance),1,criteria return work healthcare personnel confirmed suspected covid interim guidance
Oregon Town Goes Door to Door Tracking COVID-19,1,oregon town goes door door tracking covid
If Queen Elizabeth II tested positive for coronavirus.,0,queen elizabeth ii tested positive coronavirus
Tech Might Help COVID Patients Ventilators Can't,1,tech might help covid patients ventilators cant
CDC Adds Six Symptoms to COVID-19 List,1,cdc adds six symptoms covid list
Preguntas frecuentes relativas a la prevención y el control de infecciones asociadas a la atención médica para el COVID-19,1,preguntas frecuentes relativas la prevencin el control de infecciones asociadas la atencin mdica para el covid
Coronavirus contains ÒHIV insertions.Ó,0,coronavirus contains hiv insertions
U.S. Clinical Laboratories Reporting SARS-CoV-2 Test Results to CDC,1,us clinical laboratories reporting sarscov test results cdc
Here’s How to Clean Your Groceries During the COVID-19 Outbreak,1,heres clean groceries covid outbreak
Walmart is closing hundreds of its stores.,0,walmart closing hundreds stores
How the U.S. Is Preparing for a Major Coronavirus Outbreak,1,us preparing major coronavirus outbreak
Are Vital Home Health Workers Now A Safety Threat?,1,vital home health workers safety threat
"Firings, Furloughs, and Pay Cuts in Advance of COVID-19 Surge",1,firings furloughs pay cuts advance covid surge
NIAID strategic plan details COVID-19 research priorities,1,niaid strategic plan details covid research priorities
Interim Guidance for Implementing Safety Practices for Critical Infrastructure Workers Who May Have Had Exposure to a Person with Suspected or Confirmed COVID-19,1,interim guidance implementing safety practices critical infrastructure workers may exposure person suspected confirmed covid
COVID-19Surge,1,covidsurge
"Global leaders unite to ensure everyone everywhere can access new vaccines, tests and treatments for COVID-19",1,global leaders unite ensure everyone everywhere access new vaccines tests treatments covid
Topol: US Betrays Healthcare Workers in Coronavirus Disaster,1,topol us betrays healthcare workers coronavirus disaster
Don't Count on Warmer Weather to Curb COVID-19,1,dont count warmer weather curb covid
What to Know About a Long Recovery Period After Surviving COVID-19,1,know long recovery period surviving covid
